name,birth_date,death_date
Chester Brewer,1875-11-26,1953-04-16
Jorge Guasch,1961-01-17,None
Helen Morse,1947-01-24,None
Andy Kennedy,1968-03-13,None
Paddy Moran (Gaelic footballer),1967-05-28,None
Bill Yung,1934-11-09,None
Baba Saad,1985-11-26,None
William Barnett,1761-03-04,None
Hank Foldberg,1923-03-12,2001-03-07
Carl M Voyles,1898-08-11,1982-01-11
Pat Gilroy,1971-11-03,None
Jack Meagher,1894-07-05,1968-12-07
Pat O'Neill (Dublin footballer),1950-10-22,None
R. Tucker Abbott,1919-09-28,1995-11-03
Jerry Wilkerson,1942-09-05,2007-06-02
Matthea Harvey,1973-09-03,None
Leandro Firmino,1978-06-23,None
Mike Turnesa,1907-06-09,2000-10-31
Fred Thomsen,1897-04-25,1986-01-07
Frank Longman,1882-12-07,1928-04-02
Charles Thomas,1871-10-21,1920-09-19
John C O Connor,1878-12-21,1922-01-05
Emily Taft Douglas,1899-04-10,1994-01-28
David Lary,1965-12-07,None
Idris Price,1977-08-30,None
Frank Baker,1873-05-30,1959-06-02
Steve Kuberski,1947-11-06,None
Paul Meyer (clarinetist),1965-03-05,None
Rajendra Bahadur Bhandari,1975-11-14,None
Chase Headley,1984-05-09,None
Jeff Kottkamp,1960-11-12,None
John Dutton (defensive lineman),1951-02-06,None
Richard Henry Wilde,1789-09-24,1847-09-10
Rick Owens,1961-11-18,None
Rick Stansbury,1959-12-23,None
George Beet senior,1886-04-24,1946-12-13
Alex To linktext 杜 德 偉,1962-02-10,None
George Beet,1904-05-30,1949-08-21
Nandamuri Harikrishna,1956-09-02,2018-08-29
Cheung Siu fai,1963-02-04,None
Thomas B. Edsall,1941-08-22,None
George Yates (Lancashire cricketer),1856-06-06,1925-08-21
Anton Kochinyan,1913-10-25,1990-12-01
Red Spyda,1975-12-05,None
Timothy Sullivan,1862-07-23,1913-08-31
Kevin Grevey,1953-05-12,None
Stevan Faddy,1986-09-02,None
David Gries,1939-04-26,1939-04-26
Lisa Marie Kimmell,1969-07-18,1988-04-02
Philip Van Doren Stern,1900-09-10,1984-07-31
Anthony J. Carson,1869-04-23,1943-04-25
George Kollias,1977-08-30,None
Artur Mkrtchyan,1959-02-16,1992-04-14
Kate Miller Heidke,1981-11-16,None
Findlay S Douglas,1874-11-17,1959-03-29
Patrick Mulligan,1912-06-09,1990-01-21
Wan Laiming,1900-01-18,1997-10-07
Mrinal Pande,1946-02-26,None
Henry Pittock,1835-03-01,1919-01-28
Troy Brouwer,1985-08-17,None
Ron Tschetter,1941-10-04,None
Gennaro Scarlato,1977-05-03,None
Kirk Hilton,1981-04-02,None
Ned Christie,1852-12-14,1892-11-03
Mike Hall,1965-10-13,None
Matt Goss,1968-09-29,None
Vinod Dua,1954-03-11,None
Dave Larder,1976-06-05,None
Nikolaos Michaloliakos,1957-12-11,None
Martin Hall (rugby league),1968-12-05,None
Mike Kleinhenz,1951-11-14,2008-07-11
Matt Calland,1971-08-20,None
Geneviève de Fontenay,1932-08-30,None
"Terence Boston, Baron Boston of Faversham",1930-03-21,2011-07-23
